epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
42,2.7211746704720317,3.335156645093645,9762344,0.8337891718505749,0.36641127562948644,0.22758792926158225,2.5015774965286255,0.5538631464753833,0.3163998212133135,0.13135417976549693,0.16342260794980185,0.7075989246368408,0.6642737644059318,0.6219427074704852,0.6162385557379041,0.037951246702245305,0.12641664062227523,-0.7298855845417295
43,2.666262973277342,3.191348603793553,9762344,0.7978371768923742,0.36269311606884,0.2226330025919846,2.3638806683676585,0.5455608836242131,0.3285553476640156,0.12980460481984274,0.16275679213660105,0.7105012450899396,0.659520570720945,0.6148937599999564,0.6216028077261788,0.038142863661050797,0.1275610285145896,-0.7701273901121957
44,2.6057897923248157,3.050874880381993,9762344,0.7627187175010995,0.3608611367110695,0.19498190815959657,2.2161157046045576,0.5393916113036019,0.3393068654196603,0.12823657265731267,0.16229751918997085,0.7134530544281006,0.6675264409610203,0.6118868887424469,0.6234811139958245,0.0389961517815079,0.12986852760825837,-0.8963134012051991
45,2.5397587489514124,2.938660979270935,9762344,0.7346652442855494,0.3630769643932581,0.12241141231996672,2.072506921631949,0.5341200360230037,0.34874683192798067,0.12661478987761907,0.16238516569137573,0.7164561322757176,0.6981777208192008,0.6217148687158313,0.6191339939832687,0.04136154481342861,0.1340877871428217,-1.1946913089071
46,2.4745489986879488,2.9061740807124545,9762344,0.7265435265643255,0.3694985312010561,0.010237792240721855,1.9799558690616064,0.5285697834832328,0.3561882291521345,0.1253977119922638,0.16297620747770583,0.7188855750220162,0.755207006420408,0.6462446068014417,0.6072386524506977,0.04561351878302438,0.14020352704184397,-1.6413612876619612
47,2.4183455038638346,2.9790072441101074,9762344,0.7447518051069761,0.3763919097504446,-0.09497475251555437,1.9879333760057176,0.52513530424663,0.36068700892584665,0.12493346418653216,0.1640084215572902,0.7202636003494263,0.815167771918433,0.6701481299740928,0.5938667101519448,0.05097260831722191,0.14627578322376525,-2.0547163294894353
48,2.3654761119257834,3.064455543245588,9762344,0.7661138822856758,0.3792776257864066,-0.14502146414348055,2.0412746327263966,0.5232653362410409,0.36431480731282917,0.1250411080462592,0.16501364963395254,0.7207101328032357,0.8443842530250549,0.6799807505948203,0.5892974095685142,0.05375553534499237,0.14885076667581285,-2.254408206258501
49,2.314448570566518,3.1512690101351057,9762344,0.7878172810721611,0.3802001484270607,-0.18676242232322693,2.1163060707705363,0.523313833134515,0.36867654749325346,0.12479424263749804,0.16504424810409546,0.7216096775872367,0.8550507128238678,0.6816785846437726,0.5902100035122463,0.05511809805674212,0.15076392782585962,-2.4275459178856442
50,2.2657861322874115,3.2756296566554477,9762344,0.8189074053162976,0.3832650410809687,-0.23397796122091152,2.2372346222400665,0.5336468773228782,0.37285118443625315,0.1243923327752522,0.1646034355674471,0.7227410503796169,0.8572016911847251,0.6813962161540985,0.592413815004485,0.05680097506514618,0.1534136352794511,-2.623917894704001
51,2.2211293202070963,3.4372348955699374,9762344,0.8593087498364703,0.3871623839118651,-0.283529346542699,2.4026519528457095,0.5499028989246914,0.37496462038585116,0.12393818582807269,0.1638036561863763,0.7239488192967006,0.8519186547824315,0.6793864284242902,0.5958917822156634,0.05872620588966778,0.1555565521121025,-2.828922608069011
52,2.181184770805495,3.5986352477754866,9762344,0.8996588054246136,0.38932003852512154,-0.2990636735090188,2.57931301849229,0.5648823976516724,0.3747814510549818,0.12349936366081238,0.1629984485251563,0.7251229456492833,0.8372624261038644,0.6733950078487396,0.6026501847164971,0.05856041344148772,0.15600430007491792,-2.8988092754568373
53,2.1465712920540856,3.7272382974624634,9762344,0.9318095291964709,0.3890176112098353,-0.33383455925754135,2.737369315964835,0.575529911688396,0.37477752566337585,0.12315860390663147,0.16265498953206198,0.7262136680739266,0.8089513948985508,0.6624918111733028,0.6132614995752063,0.05775880201586655,0.1553937324455806,-3.0495909303426743
54,2.117049770341033,3.804345420428685,9762344,0.9510863781241434,0.38659315582896986,-0.32486163292612347,2.8555372783115933,0.5820353329181671,0.37731808849743437,0.12291601406676429,0.1625381772007261,0.7272413543292454,0.7698218907628741,0.6477264719349998,0.6263588688203267,0.05607032935534205,0.15407264126198633,-3.0303648433515002
55,2.0903357707318806,3.8574077912739346,9762344,0.9643519606574307,0.38338399944560864,-0.2691069027142866,2.949063492672784,0.5862728399889809,0.38154091579573496,0.12257800038371768,0.16234377878052847,0.7284284319196429,0.7317437742437635,0.6326598269598824,0.6392737797328404,0.054022575329457014,0.1522595520530428,-2.8256707383053645
56,2.065056509560063,3.8844241074153354,9762344,0.9711060464781309,0.37966092303395277,-0.22967296785541946,3.01250051174845,0.588568389415741,0.38646099822861807,0.12223760783672333,0.16214106976985931,0.7296217850276402,0.6980045288801193,0.6182701119354793,0.6511295842272895,0.051681537447231155,0.14966412101473128,-2.6859042389052257
57,2.0412114560604095,3.8838215385164534,9762344,0.9709554073799934,0.3759588820061513,-0.20020698915634838,3.0432094676154002,0.5887126667158944,0.3917651517050607,0.12171881113733564,0.16175577895981924,0.7310727323804583,0.6689678430557251,0.6053900676114219,0.6613831456218447,0.049925507711512704,0.1479770147374698,-2.5850489863327573
58,2.018856506617296,3.851244262286595,9762344,0.9628110888547131,0.3714901879429817,-0.17659620408500953,3.0437655534063066,0.5866418480873108,0.3977301163332803,0.12062502120222364,0.1610206344297954,0.7333703977721078,0.6389909216335842,0.5919750843729291,0.6720644256898335,0.047862859176737924,0.14632318488189153,-2.5095497561352595
59,1.9973630724208695,3.8311870098114014,9762344,0.9577967722767167,0.36795836846743313,-0.16894902980753357,3.04779052734375,0.5854420576776777,0.40400334766932894,0.12048921414784022,0.16087881794997624,0.7342117599078587,0.6161392309835979,0.5803695746830532,0.6809862426349095,0.046768116631678174,0.14514302355902536,-2.4949974694422314
60,1.976611020664374,3.785360949380057,9762344,0.9463402567032192,0.36449448578059673,-0.15866576667342858,3.020242235490254,0.5824355099882398,0.410536527633667,0.12050810562712806,0.16076013020106725,0.7347944038254874,0.5987385085650853,0.5706442807401929,0.6881360198770251,0.04587217713040965,0.1441380221928869,-2.468130018029894
61,1.9566766154908,3.7177865505218506,9762344,0.9294466925784944,0.36054581217467785,-0.14005095671330176,2.9723357941423143,0.5778260997363499,0.41617193818092346,0.11977218197924751,0.16016079485416412,0.736554605620248,0.5804632625409535,0.5608910151890346,0.6954352600233895,0.045215531651462824,0.14330533891916275,-2.408365630677768
